School_Year,School Authority Category,School Authority Name,School Authority Code,School Name,School Code,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2013_2014,Public,Calgary School District No. 19,3030,Midsun School,348,,,,,,,,249,248,287,,,,784
2013_2014,Public,Calgary School District No. 19,3030,The Hamptons School,387,35,46,42,41,34,,,,,,,,,198
2013_2014,Public,Calgary School District No. 19,3030,Hidden Valley School,535,120,123,110,113,,,,,,,,,,466
2013_2014,Public,Calgary School District No. 19,3030,Crossing Park School,536,112,112,113,115,113,114,113,113,114,105,,,,1124
2013_2014,Public,Calgary School District No. 19,3030,Battalion Park School,537,96,105,107,113,99,91,89,,,,,,,700
2013_2014,Public,Calgary School District No. 19,3030,Monterey Park School,538,80,62,91,97,73,80,73,,,,,,,556
2013_2014,Public,Calgary School District No. 19,3030,Douglasdale School,596,57,74,57,71,58,4,2,,,,,,,323
2013_2014,Public,Calgary School District No. 19,3030,Scenic Acres School,597,48,22,23,26,31,,,,,,,,,150
2013_2014,Public,Calgary School District No. 19,3030,Coventry Hills School,1038,167,158,134,131,,,,,,,,,,590
2013_2014,Public,Calgary School District No. 19,3030,Colonel Sanders School,1053,,50,103,102,125,,,,,,,,,380
2013_2014,Public,Calgary School District No. 19,3030,Piitoayis Family School,1054,10,17,22,10,17,17,17,,,,,,,110
2013_2014,Public,Calgary School District No. 19,3030,CBe - Learn,1064,,,,,,,,27,34,57,270,602,1181,2171
2013_2014,Public,Calgary School District No. 19,3030,Valley Creek School,1098,,,,,124,133,115,127,135,118,,,,752
2013_2014,Public,Calgary School District No. 19,3030,Somerset School,1099,81,78,66,59,65,,,,,,,,,349
2013_2014,Public,Calgary School District No. 19,3030,Juno Beach Academy of Canadian Studies,1125,,,,,,,,20,17,17,11,15,9,89
2013_2014,Public,Calgary School District No. 19,3030,Discovering Choices 2,1161,,,,,,,,,,,6,31,298,335
2013_2014,Public,Calgary School District No. 19,3030,Centennial High School,1224,,,,,,,,,,,591,572,558,1721
2013_2014,Public,Calgary School District No. 19,3030,Start Outreach,1232,,,,,,,,,,,4,23,139,166
2013_2014,Public,Calgary School District No. 19,3030,Westbrook Outreach,1260,,,,,,,,,,,3,33,159,195
2013_2014,Public,Calgary School District No. 19,3030,Arbour Lake Middle School,1330,,,,,,152,175,190,201,204,,,,922
2013_2014,Public,Calgary School District No. 19,3030,Chaparral School,1331,84,96,69,100,77,65,,,,,,,,491
2013_2014,Public,Calgary School District No. 19,3030,Citadel Park School,1332,68,97,98,98,99,,,,,,,,,460
2013_2014,Public,Calgary School District No. 19,3030,Mountain Park School,1333,,,,,,150,189,176,211,193,,,,919
2013_2014,Public,Calgary School District No. 19,3030,Radisson Park School,1334,48,58,51,52,47,39,,,,,,,,295
2013_2014,Public,Calgary School District No. 19,3030,Tuscany School,1335,176,175,172,167,,,,,,,,,,690
2013_2014,Public,Calgary School District No. 19,3030,Taradale School,1450,139,137,134,133,139,,,,,,,,,682
2013_2014,Public,Calgary School District No. 19,3030,Samuel W. Shaw School,1451,,,,,,129,125,178,160,149,,,,741
2013_2014,Public,Calgary School District No. 19,3030,Panorama Hills School,1452,161,177,162,129,,,,,,,,,,629
2013_2014,Public,Calgary School District No. 19,3030,McKenzie Towne School,1463,125,156,121,101,72,,,,,,,,,575
2013_2014,Public,Calgary School District No. 19,3030,Bridlewood School,1498,84,93,74,106,69,79,54,,,,,,,559
2013_2014,Public,Calgary School District No. 19,3030,Cranston School,1499,122,151,110,100,74,,,,,,,,,557
2013_2014,Public,Calgary School District No. 19,3030,Evergreen School,1500,119,126,102,93,82,,,,,,,,,522
2013_2014,Public,Calgary School District No. 19,3030,Royal Oak School,1519,100,100,117,129,90,,,,,,,,,536
2013_2014,Public,Calgary School District No. 19,3030,Saddle Ridge School,1520,178,166,170,133,,,,,,,,,,647
2013_2014,Public,Calgary School District No. 19,3030,West Springs School,1521,101,105,86,88,65,44,38,,,,,,,527
2013_2014,Public,Calgary School District No. 19,3030,All Boys Alternative Program,1579,14,30,26,19,28,19,20,,,,,,,156
2013_2014,Public,Calgary School District No. 19,3030,Nose Creek School,1674,,,,,140,120,113,119,100,100,,,,692
2013_2014,Public,Calgary School District No. 19,3030,Captain Nichola Goddard School,1676,,,,,157,144,117,114,137,121,,,,790
2013_2014,Public,Calgary School District No. 19,3030,Ted Harrison School,1677,,,,,,138,155,124,141,89,,,,647
2013_2014,Public,Calgary School District No. 19,3030,Twelve Mile Coulee School,1678,,,,,144,172,140,139,126,103,,,,824
2013_2014,Public,Calgary School District No. 19,3030,Robert Thirsk School,1679,,,,,,,,,,,472,346,,818
2013_2014,Public,Calgary School District No. 19,3030,Children's Village School,9014,8,3,3,9,8,7,6,,,,,,,44
2013_2014,Public,Calgary School District No. 19,3030,William Roper Hull School,9033,,,1,4,1,3,4,11,9,18,11,8,6,76
2013_2014,Public,Calgary School District No. 19,3030,Wood's Homes School,9035,,1,,,1,2,1,4,9,16,18,8,2,62
2013_2014,Public,Calgary School District No. 19,3030,Emily Follensbee School,9036,4,6,12,9,12,8,4,1,6,7,,,,69
2013_2014,Public,Calgary School District No. 19,3030,Christine Meikle School,9037,,,,,,,,9,3,13,16,18,15,74
2013_2014,Public,Calgary School District No. 19,3030,Richmond School,9100,36,27,21,31,18,19,18,,,,,,,170
2013_2014,Public,Calgary School District No. 19,3030,Alex Ferguson School,9101,37,34,32,44,39,38,29,,,,,,,253
2013_2014,Public,Calgary School District No. 19,3030,Jennie Elliott School,9103,79,88,76,74,50,83,43,,,,,,,493
2013_2014,Public,Calgary School District No. 19,3030,Killarney School,9104,65,53,41,37,30,15,15,,,,,,,256
2013_2014,Public,Calgary School District No. 19,3030,Altadore School,9109,39,48,42,47,30,27,33,,,,,,,266
2013_2014,Public,Calgary School District No. 19,3030,Belvedere Parkway School,9110,56,36,42,34,36,49,39,,,,,,,292
2013_2014,Public,Calgary School District No. 19,3030,Bowcroft School,9111,50,37,36,41,33,33,44,,,,,,,274
